0x19ECB620, 37209051349074968, 68407836, 68407848, 12, 424x240 
0x19ECB620, 37209051350795096, 68407848, 68407849, 1, 424x240 
0x19ECB620, 37209051351798256, 68407939, 68407940, 1, 424x240 
0x19ECB620, 37209051353078040, 68408068, 68408070, 2, 424x240 
0x19ECB620, 37209051354518232, 68408215, 68408217, 2, 424x240 
0x19ECB620, 37209051355800224, 68408339, 68408341, 2, 424x240 
0x19ECB620, 37209051358516784, 68408615, 68408634, 19, 640x360 
0x19ECB620, 37209051359794720, 68408740, 68408744, 4, 640x360 
0x19ECB620, 37209051361235832, 68408888, 68408891, 3, 640x360 
0x19ECB620, 37209051362518064, 68409014, 68409016, 2, 640x360 
0x19ECB620, 37209051363796832, 68409143, 68409145, 2, 640x360 
0x19ECB620, 37209051365239032, 68409288, 68409290, 2, 640x360 
0x19ECB620, 37209051366519656, 68409416, 68409418, 2, 640x360 
0x19ECB620, 37209051367956376, 68409554, 68409556, 2, 640x360 
0x19ECB620, 37209051369238032, 68409684, 68409687, 3, 640x360 
0x19ECB620, 37209051370515656, 68409813, 68409815, 2, 640x360 
0x19ECB620, 37209051371954976, 68409955, 68409957, 2, 640x360 
0x19ECB620, 37209051373238376, 68410084, 68410085, 1, 640x360 
0x19ECB620, 37209051374676344, 68410228, 68410230, 2, 640x360 
0x19ECB620, 37209051375957248, 68410357, 68410359, 2, 640x360 
0x19ECB620, 37209051377236224, 68410483, 68410485, 2, 640x360 
0x19ECB620, 37209051378677848, 68410629, 68410631, 2, 640x360 
0x19ECB620, 37209051379960408, 68410759, 68410761, 2, 640x360 
0x19ECB620, 37209051381237760, 68410884, 68410885, 1, 640x360 
0x19ECB620, 37209051382675352, 68411029, 68411031, 2, 640x360 
0x19ECB620, 37209051383955960, 68411160, 68411162, 2, 640x360 
0x19ECB620, 37209051385398312, 68411300, 68411302, 2, 640x360 
0x19ECB620, 37209051386674376, 68411427, 68411429, 2, 640x360 
0x19ECB620, 37209051387958496, 68411558, 68411560, 2, 640x360 
0x19ECB620, 37209051389394472, 68411698, 68411700, 2, 640x360 
0x19ECB620, 37209051390675432, 68411826, 68411829, 3, 640x360 
0x19ECB620, 37209051391955568, 68411955, 68411956, 1, 640x360 
0x19ECB620, 37209051393393568, 68412098, 68412100, 2, 640x360 
0x19ECB620, 37209051394676816, 68412230, 68412232, 2, 640x360 
0x19ECB620, 37209051396116856, 68412376, 68412378, 2, 640x360 
0x19ECB620, 37209051397397128, 68412499, 68412501, 2, 640x360 
0x19ECB620, 37209051398674680, 68412628, 68412630, 2, 640x360 
0x19ECB620, 37209051400114952, 68412773, 68412775, 2, 640x360 
0x19ECB620, 37209051401395872, 68412902, 68412904, 2, 640x360 
0x19ECB620, 37209051402838304, 68413047, 68413049, 2, 640x360 
0x19ECB620, 37209051404118640, 68413171, 68413173, 2, 640x360 
0x19ECB620, 37209051405396632, 68413302, 68413305, 3, 640x360 
0x19ECB620, 37209051406836120, 68413444, 68413445, 1, 640x360 
0x19ECB620, 37209051408117320, 68413573, 68413575, 2, 640x360 
0x19ECB620, 37209051409395112, 68413699, 68413700, 1, 640x360 
0x19ECB620, 37209051410837528, 68413843, 68413845, 2, 640x360 
0x19ECB620, 37209051412115968, 68413970, 68413972, 2, 640x360 
0x19ECB620, 37209051413555264, 68414115, 68414117, 2, 640x360 
0x19ECB620, 37209051414834808, 68414246, 68414248, 2, 640x360 
0x19ECB620, 37209051416115176, 68414372, 68414374, 2, 640x360 
0x19ECB620, 37209051417556896, 68414518, 68414520, 2, 640x360 
0x19ECB620, 37209051418838296, 68414642, 68414644, 2, 640x360 
0x19ECB620, 37209051420118104, 68414774, 68414775, 1, 640x360 
0x19ECB620, 37209051421556640, 68414919, 68414921, 2, 640x360 
0x19ECB620, 37209051422834712, 68415043, 68415045, 2, 640x360 
0x19ECB620, 37209051424277264, 68415189, 68415191, 2, 640x360 
0x19ECB620, 37209051425554672, 68415314, 68415316, 2, 640x360 
0x19ECB620, 37209051426835400, 68415449, 68415451, 2, 640x360 
0x19ECB620, 37209051428279608, 68415589, 68415591, 2, 640x360 
0x19ECB620, 37209051429556032, 68415718, 68415719, 1, 640x360 
0x19ECB620, 37209051430996200, 68415859, 68415861, 2, 640x360 
0x19ECB620, 37209051432278936, 68415987, 68415990, 3, 640x360 
0x19ECB620, 37209051433554216, 68416119, 68416120, 1, 640x360 
0x19ECB620, 37209051434997752, 68416258, 68416261, 3, 640x360 
0x19ECB620, 37209051436274568, 68416389, 68416391, 2, 640x360 
0x19ECB620, 37209051437556792, 68416520, 68416521, 1, 640x360 
0x19ECB620, 37209051438999952, 68416660, 68416662, 2, 640x360 
0x19ECB620, 37209051440278304, 68416790, 68416791, 1, 640x360 
0x19ECB620, 37209051441714416, 68416931, 68416932, 1, 640x360 
0x19ECB620, 37209051442997176, 68417061, 68417064, 3, 640x360 
0x19ECB620, 37209051444275328, 68417187, 68417189, 2, 640x360 
0x19ECB620, 37209051445715144, 68417334, 68417336, 2, 640x360 
0x19ECB620, 37209051446994816, 68417459, 68417460, 1, 640x360 
0x19ECB620, 37209051448274800, 68417592, 68417594, 2, 640x360 
0x19ECB620, 37209051449715656, 68417733, 68417735, 2, 640x360 
0x19ECB620, 37209051450996888, 68417861, 68417863, 2, 640x360 
0x19ECB620, 37209051452437608, 68418006, 68418008, 2, 640x360 
0x19ECB620, 37209051453715152, 68418130, 68418132, 2, 640x360 
0x19ECB620, 37209051454995752, 68418259, 68418260, 1, 640x360 
0x19ECB620, 37209051456435480, 68418403, 68418405, 2, 640x360 
